Hit	POS	Lemma
britischen	ADJA	britisch
britischen	ADJA	britisch
britischer	ADJA	britisch
Brotschneidende	NN	brotschneidend
brummigen	ADJA	brummig
brünette	ADJA	brünett
brünette	ADJA	brünett
brustkranke	ADJA	brustkrank
brutalsten	ADJA	brutal
buckligen	ADJA	bucklig
buckliger	ADJA	bucklig
Budapester	NN	dichtend
bügelnden	ADJA	bügelnd
bulgarischen	ADJA	bulgarisch
bunte	ADJA	bunt
bürgerliche	ADJA	bürgerlich
bürgerliche	ADJA	bürgerlich
bürgerlichen	ADJA	bürgerlich
burischen	ADJA	burisch
calvinistischer	NN	calvinistisch
charaktervolle	ADJA	charaktervoll
charaktervollen	ADJA	charaktervoll
charmante	ADJA	charmant
charmanten	ADJA	charmant
chinesische	ADJA	chinesisch
chinesische	ADJA	chinesisch
chinesischen	ADJA	chinesisch
chinesischer	ADJA	chinesisch
christlich-sozialen	ADJA	christlich-sozial
christliche	ADJA	christlich
christlichen	ADJA	christlich
christlichsten	ADJA	christlich
clownsgeschminkte	ADJA	clownsgeschminkt
comportabler	ADJA	comportabel
coole	ADJA	cool
coolen	ADJA	cool
correcten	NN	korrekt
couragierten	ADJA	couragiert
couragierten	ADJA	couragiert
D.s	NE	DISCARD
dabeistehenden	ADJA	dabeistehend
dahinschreitenden	ADJA	dahinschreitend
dalmatischen	ADJA	dalmatisch
damaligen	ADJA	damalig
dämonischen	ADJA	dämonisch
dämonischen	ADJA	dämonisch
dankbaren	ADJA	dankbar
dargestellten	ADJA	dargestellt
dazugehörige	ADJA	dazugehörig
dazugehörige	ADJA	dazugehörig
debattierender	ADJA	debattierend
degenerierteste	ADJA	degeneriert
dekadente	ADJA	dekadent
dekolletierte	ADJA	dekolletiert
Delnitzkys	NN	DISCARD
demeterhafte	ADJA	demeterhaft
demokratischen	ADJA	demokratisch
demselben	PDS	derselbe
denkende	ADJA	denkend
denkende	ADJA	denkend
denkenden	ADJA	denkend
denkenden	ADJA	denkend
denkender	ADJA	denkend
derartiger	ADJA	derartig
derbschultrige	ADJA	derbschultrig
deutschbewußten	ADJA	deutschbewusst
deutschblütigen	ADJA	deutschblütig
deutsche	ADJA	deutsch
Deutsche	ADJA	deutsch
deutsche	ADJA	deutsch
Deutsche	ADJA	deutsch
DEUTSCHE	NN	deutsch
deutschen	ADJA	deutsch
deutschen	ADJA	deutsch
Deutschen	NN	deutsch
deutscher	ADJA	deutsch
deutscher	ADJA	deutsch
Deutscher	NN	deutsch
deutschstämmigen	ADJA	deutschstämmig
Dez.	NN	Dez.
dichtende	ADJA	dichtend
