Nr;Text_vorher;UNG;Text_danach;Textstelle;Sprachraum;Jahr;Textsorte;Textstelle5;Erstglied;Lemma;NOM_V;FVG;Fremdwortbasis;Praefix;Numerus;Simplexbasis;Konstruktion;als_praep_Kompl;Prep_Det_Nom;Adj;Genitiv;Det;Prep;Anmerkungen
1757;n Weib von ihrer LeibsBuerde  loss/ mit gluecklicher ;Genesung;  Kinds=Mutter wird/ vnnd das Hauss mit einem neuge;OOBD-1680-KT-110.txt;OOBD;1680;KT;110.txt;NA;Genesung;NA;NA;NEIN;ge;SG;NEIN;PREP_ADJ_NOM;JA;NA;gluecklich;NA;KEIN;mit;NA
402;h die Hexen vnd Vnholden die Kranckheiten vnd die ;Genesungen;/ dann weil sie alle nuetzliche vnnd schaedliche din;WOBD-1620-KT-079.txt;WOBD;1620;KT;079.txt;NA;Genesung;NA;NA;NEIN;ge;PL;NEIN;DET_NOM;NEIN;NA;NA;NA;b;NA;NA
1147;iesem  Wunderstuekke/ koenne stets voellig/  und die ;Genuessung; dero suessesten Fruechte/ unendlich seyn. ;OMD-1650-ST-101.txt;OMD;1650;ST;101.txt;NA;Geniessung;NA;NA;NEIN;ge;SG;NEIN;DET_NOM_GEN;NEIN;NA;NA;postnom;b;NA;NA
1578;t/ als verlangen nach dem reynen wort Gottes/ vnd ;geniessung; seeligmachenden trosts/ vngefehr vor 8. wochen/ z;OOBD-1620-KT-075.txt;OOBD;1620;KT;075.txt;NA;Geniessung;NA;NA;NEIN;ge;SG;NEIN;NOM_GEN;NEIN;NA;NA;postnom;KEIN;NA;NA
3079;gem Glauben verharren/ vergossen wird kraefftig zu ;Genugthuung;  der Suenden. Dieses/ was ich gethan  habe/ Brod u;WOBD-1680-KT-113.txt;WOBD;1680;KT;113.txt;NA;Genugtuung;NA;NA;NEIN;ge;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;zu;NA
1219;gemahlet/ *Gal. III, 1.* Nicht allein/  was seine ;Gnugthuung; und Verdienst betrifft/ da dessen Empfaengniss/  un;OMD-1710-KT-137.txt;OMD;1710;KT;137.txt;NA;Genugtuung;NA;NA;NEIN;ge;SG;NEIN;GEN_NOM;NEIN;NA;NA;prenom;s;NA;NA
1393;on kintheit auff erlitten hat alles versoenung vn_ ;gnugthuung; fuer vnser suende sein. Aber gleichwol/ dieweil Chr;OOBD-1560-KT-040.txt;OOBD;1560;KT;040.txt;NA;Genugtuung;NA;NA;NEIN;ge;SG;NEIN;NOM;NEIN;NA;NA;NA;KEIN;NA;NA
194;die verdacht  person auss neyde veindtschafft oder ;gewartung; eynicherley nucs zu der gedachten mysstat vrsach n;NOBD-1500-ST-008.txt;NOBD;1500;ST;008.txt;NA;Gewartung;NA;NA;NEIN;ge;SG;NEIN;PREP_NOM_GEN;JA;NA;NA;postnom;KEIN;aus;NA
1763;zeichen anbelanget/ seynd diese  die vnbestaendige ;Gewitterung; der Zeiten/ Sudwindige *Constitution,* ueberhaeuffi;OOBD-1680-KT-110.txt;OOBD;1680;KT;110.txt;NA;Gewitterung;NA;NA;NEIN;ge;SG;NEIN;DET_ADJ_NOM_GEN;NEIN;NA;unbestaendig;NA;b;NA;NA
2913;e der Prophet Daniel den stand der Erklaerung  vnd ;Glorificierung; der Ausserwoehlten/ dem vnderscheid dess Gestirnten ;WOBD-1620-ST-078.txt;WOBD;1620;ST;078.txt;NA;Glorifizierung;NA;NA;JA;NA;SG;NA;DET_NOM_GEN;NEIN;NA;NA;postnom;b;NA;NA
