File	Title	Author	Texttype	Year
gottfried_historia_1631_minimal	Newe Welt Vnd Americanische Historien/ Jnhaltende Warhafftige vnd volkommene Beschreibungen Aller West-Jndianischen Landschafften [...] zusampt der Natur vnd Eigenschafft deß Erdrichs [...] wie auch der Thier [...] sampt andern Wunderbaren Creaturen vnd Miraculn der Natur/ in diesem halben Theil deß Erdkreyses	Johann Ludwig Gottfried	Wissenschaft	1631
gottsched_versuch_1730_minimal	Versuch einer Critischen Dichtkunst vor die Deutschen	Johann Christoph Gottsched	Gebrauchsliteratur	1730
grabbe_napoleon_1831_minimal	Napoleon oder Die hundert Tage	Christian Dietrich Grabbe	Belletristik	1831
greflinger_krieg_1657_minimal	Der Deutschen Dreyßig-Jähriger Krjeg/ Poetisch erzählet	Georg Greflinger	Belletristik	1657
griesinger_psychische_1845_minimal	Die Pathologie und Therapie der psychischen Krankheiten, für Aerzte und Studirende	Wilhelm Griesinger	Wissenschaft	1845
grimm_odenwald_1843_minimal	Die malerischen und romantischen Stellen des Odenwaldes	Albert Ludwig Grimm	Gebrauchsliteratur	1843
grimmelshausen_continuatio_1669_minimal	Continuatio des abentheurlichen Simplicissimi Oder Der Schluß desselben	Hans Jakob Christoffel von Grimmelshausen	Belletristik	1669
grimmelshausen_michel_1673_minimal	Deß Weltberuffenen SIMPLICISSIMI Pralerey und Gepräng mit seinem Teutschen Michel	Hans Jakob Christoffel von Grimmelshausen	Belletristik	1673
grimmelshausen_simplicissimus_1669_minimal	Der Abentheurliche Simplicissimus Teutsch	Hans Jakob Christoffel von Grimmelshausen	Belletristik	1669
grimmelshausen_trutzsimplex_1670_minimal	Trutz Simplex: Oder Ausführliche und wunderseltzame Lebensbeschreibung Der Ertzbetrügerin und Landstörtzerin Courasche/ Wie sie anfangs eine Rittmeisterin/ hernach eine Hauptmännin/ ferner eine Leutenantin/ bald eine Marcketenterin/ Mußquetirerin/ und letzlich eine Ziegeunerin abgegeben	Hans Jakob Christoffel von Grimmelshausen	Belletristik	1670
gruber_examen_1703_minimal	Examen Fortificatorium oder Gründlicher Unterricht von der Theoria und Praxi Der heutigen Kriegs-Bau-Kunst	Johann Sebastian Gruber	Wissenschaft	1703
gryphius_rechtsgelehrter_1659_minimal	Großmüttiger Rechts-Gelehrter/ Oder Sterbender Æmilius Paulus Papinianus	Andreas Gryphius	Belletristik	1659
gundling_discours_1733_minimal	Ausführlicher und mit Illustren Exempeln aus der Historie und Staaten Notiz erläuterter Discovrs über Weyl. Herrn D. Io. Franc. Bvddei, SS. Th. Prof., Philosophiæ Practicæ Part. III. Die Politic	Nicolaus Hieronymus Gundling	Wissenschaft	1733
haarer_bawrenkrieg_1625_minimal	Eigentliche Warhafftige beschreibung deß Bawrenkriegs/ 	Peter Harer	Wissenschaft	1625
hagedorn_sammlung02_1744_minimal	Sammlung Neuer Oden und Lieder	Friedrich von Hagedorn	Belletristik	1744
haller_anfangsgruende03_1766_minimal	Anfangsgründe der Phisiologie des menschlichen Körpers	Albrecht von Haller	Wissenschaft	1766
haller_anfangsgruende05_1772_minimal	Anfangsgründe der Phisiologie des menschlichen Körpers	Albrecht von Haller	Wissenschaft	1772
hasak_predigtkirche_1893_minimal	Die Predigtkirche im Mittelalter	Max Hasak	Gebrauchsliteratur	1893
hegel_logik0101_1812_minimal	Wissenschaft der Logik	Georg Wilhelm Friedrich Hegel	Wissenschaft	1812
heine_reisebilder01_1826_minimal	Reisebilder	Heinrich Heine	Belletristik	1826
herder_artundkunst_1773_minimal	Von Deutscher Art und Kunst	Johann Gottfried von Herder	Wissenschaft	1773
herder_humanitaet08_1796_minimal	Briefe zu Beförderung der Humanität	Johann Gottfried von Herder	Wissenschaft	1796
herder_philosophie_1774_minimal	Auch eine Philosophie der Geschichte zur Bildung der Menschheit	Johann Gottfried von Herder	Wissenschaft	1774
herwegh_gedichte01_1841_minimal	Gedichte eines Lebendigen	Georg Herwegh	Belletristik	1841
hobrecht_polytechnikum_1878_minimal	Vortrag gehalten im Architekten-Verein zu Berlin am 7. October 1878	James Hobrecht	Gebrauchsliteratur	1878
hoffmann_elixiere01_1815_minimal	Die Elixiere des Teufels	E. T. A.  Hoffmann	Belletristik	1815
hoffmannswaldau_gedichte03_1703_minimal	Herrn von Hoffmannswaldau und anderer Deutschen auserlesener und bißher ungedruckter Gedichte	Christian Hofmann von Hofmannswaldau	Belletristik	1703
holz_phantasus01_1898_minimal	Phantasus	Arno Holz	Belletristik	1898
hug_familie_1896_minimal	Die christliche Familie im Kampfe gegen feindliche Mächte	Gallus Joseph Hug	Gebrauchsliteratur	1896
hulsius_schifffahrt_1649_minimal	Die fünff vnd zweyntzigste Schifffahrt/ Nach dem Königreich Chili in West-Jndien	Levinus Hulsius	Gebrauchsliteratur	1649
humboldt_chinawaelder_1807_minimal	Über die Chinawälder in Südamerika	Alexander von Humboldt	Wissenschaft	1807
humboldt_kosmos02_1847_minimal	Kosmos	Alexander von Humboldt	Wissenschaft	1847
ideler_wahnsinn_1847_minimal	Der religiöse Wahnsinn	Karl Wilhelm Ideler	Wissenschaft	1847
jahn_rede_1849_minimal	Gottfried Herrmann. Eine Gedächnissrede	Otto Jahn	Gebrauchsliteratur	1849
justi_abhandlung01_1758_minimal	Vollständige Abhandlung von denen Manufakturen und Fabriken	Johann Heinrich Gottlob von Justi	Gebrauchsliteratur	1758
justi_velazquez01_1888_minimal	Diego Velazquez und sein Jahrhundert	Carl Justi	Wissenschaft	1888
kaempfer_japan01_1777_minimal	Geschichte und Beschreibung von Japan	Engelbert Kaempfer	Wissenschaft	1777
kentz_handwerksboden_1629_minimal	Güldener Handwercksboden. Das ist: Eine Allgemeine Wolgegründte/ Nützliche vnd Anmutige Betrachtung/ aller vnd jeden/ zu Nutz/ Nothdurfft/ vnd Wolfahrt/ auch Zierd/ Wolstand/ vnd Ergetzligkeit des Menschlichen Lebens/ Wandels/ vnd Auffenthalt/ Erfundenen/ verbesserten/ vnd bißhero getriebnen Handwercks Künsten	Paul Kentz	Wissenschaft	1629
kepler_messekunst_1616_minimal	Außzug auß der Vralten Messe Kunst Archimedis Vnd deroselben newlich in Latein außgangener Ergentzung/ Vnd deroselben newlich in Latein außgangener Ergentzung/ betreffend Rechnung der Cörperlichen Figuren/ holen Gefessen vnd Weinfässer [...]	Johannes Kepler	Wissenschaft	1616
klaj_lobrede_1645_minimal	Lobrede der Teutschen Poetery	Johann Klaj	Gebrauchsliteratur	1645
klopstock_messias03_1769_minimal	Der Messias	Friedrich Gottlieb Klopstock	Belletristik	1769
klopstock_oden_1771_minimal	Oden	Friedrich Gottlieb Klopstock	Belletristik	1771
klueber_voelkerrecht01_1821_minimal	Europäisches Völkerrecht	Johann Ludwig Klüber	Wissenschaft	1821
knigge_umgang01_1788_minimal	Ueber den Umgang mit Menschen	Adolph von Knigge	Gebrauchsliteratur	1788
knigge_umgang02_1788_minimal	Ueber den Umgang mit Menschen	Adolph von Knigge	Gebrauchsliteratur	1788
